AL,1990,1,146.07
AL,1990,2,147.29
AL,1990,3,147.95
AL,1990,4,148.08
AL,1991,1,149.27
AL,1991,2,151.64
AL,1991,3,152.37
AL,1991,4,154.86
AL,1992,1,156.15
AL,1992,2,156.44
AL,1992,3,159.36
AL,1992,4,160.60
AL,1993,1,161.80
AL,1993,2,163.53
AL,1993,3,166.41
AL,1993,4,167.82
AL,1994,1,168.88
AL,1994,2,171.06
AL,1994,3,171.60
AL,1994,4,171.85
AL,1995,1,173.46
AL,1995,2,176.86
AL,1995,3,179.61
AL,1995,4,180.99
AL,1996,1,184.27
AL,1996,2,184.20
AL,1996,3,184.64
AL,1996,4,186.79
AL,1997,1,188.69
AL,1997,2,190.14
AL,1997,3,192.96
AL,1997,4,195.54
AL,1998,1,198.79
AL,1998,2,200.47
AL,1998,3,202.54
AL,1998,4,205.03
AL,1999,1,205.67
AL,1999,2,206.45
AL,1999,3,206.93
AL,1999,4,208.45
AL,2000,1,209.28
AL,2000,2,211.01
AL,2000,3,212.69
AL,2000,4,215.43
AL,2001,1,221.68
AL,2001,2,222.64
AL,2001,3,224.22
AL,2001,4,226.77
AL,2002,1,227.16
AL,2002,2,228.35
AL,2002,3,231.75
AL,2002,4,234.39
AL,2003,1,236.74
AL,2003,2,238.86
AL,2003,3,240.53
AL,2003,4,242.02
AL,2004,1,244.38
AL,2004,2,245.91
AL,2004,3,250.38
AL,2004,4,254.18
AL,2005,1,257.52
AL,2005,2,263.66
AL,2005,3,269.14
AL,2005,4,274.59
AL,2006,1,280.04
AL,2006,2,284.74
AL,2006,3,289.38
AL,2006,4,294.89
AL,2007,1,296.81
AL,2007,2,301.04
AL,2007,3,301.62
AL,2007,4,304.03
AL,2008,1,306.01
AL,2008,2,304.75
AL,2008,3,302.48
AL,2008,4,304.13
AL,2009,1,306.29
AL,2009,2,302.86
AL,2009,3,295.59
AL,2009,4,294.62
AL,2010,1,290.46
AL,2010,2,286.30
AL,2010,3,290.00
AL,2010,4,287.72
AL,2011,1,280.09
AL,2011,2,276.14
AL,2011,3,278.57
AL,2011,4,280.68
AL,2012,1,277.91
AL,2012,2,276.23
AL,2012,3,277.99
AL,2012,4,278.62
AL,2013,1,275.75
AL,2013,2,276.42
AL,2013,3,275.80
AL,2013,4,274.46
AL,2014,1,276.90
AL,2014,2,277.98
AL,2014,3,280.67
AL,2014,4,282.89
AL,2015,1,285.32
AL,2015,2,286.87
AL,2015,3,289.17
AL,2015,4,290.91
AL,2016,1,292.16
AL,2016,2,295.87
AL,2016,3,301.13
AL,2016,4,300.46
AL,2017,1,301.85
AL,2017,2,306.78
AL,2017,3,310.11
AL,2017,4,312.49
AL,2018,1,313.29
AR,1975,1,66.82
AR,1975,2,60.55
AR,1975,3,65.46
AR,1975,4,62.86
AR,1976,1,66.95
AR,1976,2,68.68
AR,1976,3,71.65
AR,1976,4,72.44
AR,1977,1,73.53
AR,1977,2,75.37
AR,1977,3,78.79
AR,1977,4,81.67
AR,1978,1,81.54
AR,1978,2,83.48
AR,1978,3,86.32
AR,1978,4,85.90
AR,1979,1,92.51
AR,1979,2,95.67
AR,1979,3,100.39
AR,1979,4,102.07
AR,1980,1,100.00
AR,1980,2,100.99
AR,1980,3,106.82
AR,1980,4,108.89
AR,1981,1,110.01
AR,1981,2,107.12
AR,1981,3,110.78
AR,1981,4,102.80
AR,1982,1,104.04
AR,1982,2,106.39
AR,1982,3,111.05
AR,1982,4,109.32
AR,1983,1,113.27
AR,1983,2,117.03
AR,1983,3,118.50
AR,1983,4,118.75
AR,1984,1,120.77
AR,1984,2,118.81
AR,1984,3,119.79
AR,1984,4,121.33
AR,1985,1,121.77
AR,1985,2,120.22
AR,1985,3,124.36
AR,1985,4,124.72
AR,1986,1,126.12
AR,1986,2,128.99
AR,1986,3,126.80
AR,1986,4,128.53
AR,1987,1,129.70
AR,1987,2,131.19
AR,1987,3,127.94
AR,1987,4,124.51
AR,1988,1,126.99
AR,1988,2,127.70
AR,1988,3,127.28
AR,1988,4,126.59
AR,1989,1,127.69
AR,1989,2,127.26
