date,open,high,low,close,volume
2017-06-01,10.2368,10.5007,10.1003,10.3824,76707185
2017-06-02,10.3915,10.4006,10.2277,10.3278,45924954
2017-06-05,10.3369,10.3369,10.2141,10.2368,42558570
2017-06-06,10.1822,10.1913,10.0549,10.1185,44543687
2017-06-07,10.1549,10.1822,10.0276,10.073,37344208
2017-06-08,9.9548,10.1003,9.9275,10.1003,40757441
2017-06-09,10.0912,10.1458,10.0185,10.1276,30285939
2017-06-12,10.1276,10.3369,10.1276,10.2641,38473144
2017-06-13,10.296,10.3278,10.1458,10.255,29889309
2017-06-14,10.2641,10.2732,10.064,10.2095,44367883
2017-06-15,10.1458,10.2732,10.1367,10.2277,28431606
2017-06-16,10.2277,10.2277,10.073,10.2095,54035414
2017-06-19,10.1913,10.2641,10.1731,10.2277,30540890
2017-06-20,10.2004,10.2095,10.0912,10.1185,31971454
2017-06-21,10.1458,10.1458,10.0094,10.0458,37002531
2017-06-22,10.0276,10.1731,10.0094,10.1276,26972816
2017-06-23,10.1003,10.1276,10.0094,10.0458,45190204
2017-06-26,10.064,10.1913,10.0594,10.1731,31316763
2017-06-27,10.164,10.1913,10.064,10.0821,28491614
2017-06-28,10.1094,10.164,10.073,10.0912,31819976
2017-06-29,10.1276,10.1913,10.073,10.164,32917042
2017-06-30,10.1731,10.2641,10.1549,10.1822,41074990
2017-07-03,10.3369,10.6327,10.2368,10.5189,43949588
2017-07-05,10.4734,10.5189,10.2459,10.2823,39412233
2017-07-06,10.2732,10.3369,10.164,10.1731,31935984
2017-07-07,10.2004,10.2641,10.1549,10.2459,20871848
2017-07-10,10.2277,10.3278,10.2186,10.3187,18881282
2017-07-11,10.2914,10.4006,10.2823,10.3551,25914333
2017-07-12,10.3824,10.5735,10.3733,10.437,33088184
2017-07-13,10.4279,10.6372,10.4188,10.5553,33650806
2017-07-14,10.5963,10.6736,10.5553,10.6281,39792182
2017-07-17,10.6554,10.6918,10.6008,10.6827,24394237
2017-07-18,10.6645,10.6918,10.619,10.6918,24625242
2017-07-19,10.7009,10.7646,10.6827,10.7646,26225866
2017-07-20,10.7738,10.8568,10.7462,10.783,30315108
2017-07-21,10.6817,10.7093,10.5618,10.6264,27630584
2017-07-24,10.6079,10.6448,10.3867,10.4052,48123427
2017-07-25,10.4144,10.4835,10.3407,10.3867,52854343
2017-07-26,10.2669,10.2854,10.0918,10.1932,72271733
2017-07-27,10.2116,10.3222,10.1656,10.3038,38687497
2017-07-28,10.2761,10.3407,10.1932,10.2946,24864110
2017-07-31,10.2854,10.3499,10.2531,10.3407,39548561
2017-08-01,10.2393,10.2761,10.0181,10.0918,65140080
2017-08-02,10.1195,10.1609,10.0734,10.1379,30890498
2017-08-03,10.1471,10.184,10.0642,10.0734,20309320
2017-08-04,10.0457,10.1287,9.9351,10.0918,29267609
2017-08-07,10.0826,10.1195,10.0457,10.0642,35013023
2017-08-08,10.0918,10.1379,10.0273,10.0365,26322101
2017-08-09,10.0273,10.0918,9.9812,10.0642,32155872
2017-08-10,10.0273,10.055,9.9259,9.9259,31903827
2017-08-11,9.9444,9.9904,9.9167,9.9259,32300117
2017-08-14,9.972,10.0918,9.9444,10.055,26413474
2017-08-15,10.0642,10.1379,9.9858,9.9904,29266299
2017-08-16,10.0089,10.0457,9.9351,9.9536,28316308
2017-08-17,9.9444,9.9536,9.7693,9.8061,35518834
2017-08-18,9.7877,9.7969,9.6494,9.7324,43998743
2017-08-21,9.7047,9.8199,9.6955,9.7416,30152540
2017-08-22,9.7785,9.8891,9.7785,9.8153,28676062
2017-08-23,9.7785,9.9351,9.76,9.8706,35405768
2017-08-24,9.9075,9.9536,9.8522,9.8706,33584388
2017-08-25,9.9259,10.0273,9.9167,9.972,35926827
2017-08-28,10.0089,10.0273,9.8891,9.9444,22307395
2017-08-29,9.9075,10.0365,9.8891,9.9904,29807261
2017-08-30,9.972,10.0826,9.9259,10.0826,23629293
2017-08-31,10.1103,10.3222,10.0918,10.1656,54208921
2017-09-01,10.3038,10.5342,10.2669,10.4605,64560278
2017-09-05,10.4697,10.4973,10.3591,10.4697,44142351
2017-09-06,10.4973,10.6264,10.4964,10.5987,43279041
2017-09-07,10.6171,10.6171,10.442,10.5066,30271005
2017-09-08,10.4513,10.4973,10.4052,10.4697,26633932
2017-09-11,10.5066,10.5526,10.4881,10.5158,43375019
2017-09-12,10.5342,10.7554,10.4973,10.6817,41386669
2017-09-13,10.6909,10.7185,10.6171,10.7093,23302152
2017-09-14,10.6909,10.7646,10.5803,10.654,31696274
2017-09-15,10.6356,10.7185,10.5895,10.7093,30865470
2017-09-18,10.7185,10.8107,10.6863,10.7185,25132356
2017-09-19,10.7185,10.8199,10.7093,10.8015,26392861
2017-09-20,10.7646,10.8706,10.7231,10.7923,26705319
